Munt,6,1000,BRUSSEL,
Molenstraat,51,9300,AALST,
Boomgaardstraat,10,9880,AALTER,
Elisabethlaan,103A,3200,AARSCHOT,
Della Faillelaan,32,2630,AARTSELAAR,
Bellestraat,99,1790,AFFLIGEM,
Papenakkerstraat,5,3570,ALKEN,
Dorp,1,8690,ALVERINGEM,
Sint-Guidostraat,97,1070,ANDERLECHT,
De Coninckplein,26,2060,ANTWERPEN,
Landergemstraat,1A,8570,ANZEGEM,
Mgr. Roelensstraat,26,8850,ARDOOIE,
Deroissart,5,2370,ARENDONK,
Kerkstraat,6,3665,AS,
Huinegem,2,1730,ASSE,
Sportstraat,2A,9960,ASSENEDE,
Doorniksesteenweg,77A,8580,AVELGEM,
Pastoor de Katerstraat,5,2387,BAARLE-HERTOG,
Bevrijdingsstraat ,1,2490,BALEN,
C. Marichalstraat,1,8730,BEERNEM,
Heilaarstraat,6,2340,BEERSE,
Brusselsesteenweg,77C,1652,ALSEMBERG,
Kleinesteenweg,4,3130,BEGIJNENDIJK,
Eugeen Coolsstraat,17A,3460,BEKKEVOORT,
Graaf van Loonstraat,2,3580,BERINGEN,
Dorpsstraat,84,2590,BERLAAR,
Dorp,101,9290,BERLARE,
Bosstraat,1,3060,BERTEM,
Gravenplein,3,9120,BEVEREN,
Speelpleinstraat,10,3360,BIERBEEK,
Eikenlaan,23,3740,BILZEN,
Onderwijsstraat,17,8370,UITKERKE,
Dorpsstraat,2,3950,BOCHOLT,
Jef Van Hoofplein,20,2530,BOECHOUT,
Jacques Morrensplein,1,2820,BONHEIDEN,
Antwerpsestraat,100,2850,BOOM,
Speelhof,15,3840,BORGLOON,
Sint-Amandsesteenweg,41- 43,2880,BORNEM,
Lindenboomstraat,3,2150,BORSBEEK,
Kerkomsesteenweg,55,3370,BOUTERSEM,
Tirse,1,9660,NEDERBRAKEL,
Bredabaan,407,2930,BRASSCHAAT,
Mudaeusstraat,9,2960,BRECHT,
Centrumplein,3,8450,BREDENE,
Kloosterpoort,1,3960,BREE,
Kuipersstraat,3,8000,BRUGGE,
Emile Bockstaellaan,107,1020,BRUSSEL,
Nieuwstraat,2,9255,BUGGENHOUT,
Eikelberg,1,8340,SIJSELE,
Grotestraat,10,8420,KLEMSKERKE,
Lindenlaan,2,8660,DE PANNE,
Baron de Gieylaan ,27,9840,DE PINTE,
Hoogstraat,124,8540,DEERLIJK,
Gentpoortstraat,1,9800,DEINZE,
Vrijheidsstraat,11,9470,DENDERLEEUW,
Kerkstraat,111,9200,DENDERMONDE,
Oostdreef,48,8720,WAKKEN,
Hannekesstraat,1,2480,DESSEL,
Dendermondesteenweg,420,9070,DESTELBERGEN,
Marktplein,24A,3590,DIEPENBEEK,
Grauwzustersstraat,10,3290,DIEST,
Koning Albertstraat,24,8600,DIKSMUIDE,
D'Arconatistraat ,1,1700,DILBEEK,
Koning Boudewijnplein,3,3650,DILSEN-STOKKEM,
